Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
6.118365500000000,36,0xD1,0xEF,Read,ACK
6.118581750000000,36,0xD1,0x00,Read,ACK
6.118798000000000,36,0xD1,0x00,Read,ACK
6.119014000000000,36,0xD1,0xFA,Read,ACK
6.119230250000000,36,0xD1,0x80,Read,ACK
6.119446500000000,36,0xD1,0x00,Read,ACK
6.119662750000000,36,0xD1,0x0B,Read,ACK
6.119878750000000,36,0xD1,0x12,Read,ACK
6.120094750000000,36,0xD1,0x82,Read,ACK
6.120311000000000,36,0xD1,0x00,Read,ACK
6.120527250000000,36,0xD1,0x01,Read,NAK
6.121518000000000,37,0xD0,0x6D,Write,ACK
6.121734000000000,37,0xD0,0x00,Write,ACK
6.122265500000000,38,0xD0,0x6E,Write,ACK
6.122481750000000,38,0xD0,0x20,Write,ACK
6.123528750000000,39,0xD0,0x6F,Write,ACK
6.123745000000000,39,0xD0,0x00,Write,ACK
6.123961250000000,39,0xD0,0x02,Write,ACK
6.124177500000000,39,0xD0,0x00,Write,ACK
6.124393500000000,39,0xD0,0x00,Write,ACK
6.124609750000000,39,0xD0,0x00,Write,ACK
6.124826000000000,39,0xD0,0x00,Write,ACK
6.125042250000000,39,0xD0,0x00,Write,ACK
6.125258250000000,39,0xD0,0x00,Write,ACK
6.125474500000000,39,0xD0,0x00,Write,ACK
6.125690750000000,39,0xD0,0x00,Write,ACK
6.125907000000000,39,0xD0,0x00,Write,ACK
6.126123250000000,39,0xD0,0x00,Write,ACK
6.126339500000000,39,0xD0,0x00,Write,ACK
6.126555750000000,39,0xD0,0x00,Write,ACK
6.126772000000000,39,0xD0,0x00,Write,ACK
6.126988000000000,39,0xD0,0x00,Write,ACK
6.127545500000000,40,0xD0,0x6D,Write,ACK
6.127761750000000,40,0xD0,0x00,Write,ACK
6.128293250000000,41,0xD0,0x6E,Write,ACK
6.128509750000000,41,0xD0,0x20,Write,ACK
6.129044250000000,42,0xD0,0x6F,Write,ACK
6.129552750000000,43,0xD1,0x00,Read,ACK
6.129768750000000,43,0xD1,0x02,Read,ACK
6.129985000000000,43,0xD1,0x00,Read,ACK
6.130201250000000,43,0xD1,0x00,Read,ACK
6.130417500000000,43,0xD1,0x00,Read,ACK
6.130633500000000,43,0xD1,0x00,Read,ACK
6.130849750000000,43,0xD1,0x00,Read,ACK
6.131066000000000,43,0xD1,0x00,Read,ACK
6.131282250000000,43,0xD1,0x00,Read,ACK
6.131498250000000,43,0xD1,0x00,Read,ACK
6.131714500000000,43,0xD1,0x00,Read,ACK
6.131930750000000,43,0xD1,0x00,Read,ACK
6.132147000000000,43,0xD1,0x00,Read,ACK
6.132363000000000,43,0xD1,0x00,Read,ACK
6.132579250000000,43,0xD1,0x00,Read,ACK
6.132795500000000,43,0xD1,0x00,Read,NAK
6.133786500000000,44,0xD0,0x6D,Write,ACK
6.134002500000000,44,0xD0,0x00,Write,ACK
6.134534000000000,45,0xD0,0x6E,Write,ACK
6.134750250000000,45,0xD0,0x30,Write,ACK
6.135797000000000,46,0xD0,0x6F,Write,ACK
6.136013250000000,46,0xD0,0x00,Write,ACK
6.136229500000000,46,0xD0,0x28,Write,ACK
6.136445750000000,46,0xD0,0x00,Write,ACK
6.136662000000000,46,0xD0,0x00,Write,ACK
6.136878250000000,46,0xD0,0xFF,Write,ACK
6.137094500000000,46,0xD0,0xFF,Write,ACK
6.137310750000000,46,0xD0,0x45,Write,ACK
6.137526750000000,46,0xD0,0x81,Write,ACK
6.137743000000000,46,0xD0,0xFF,Write,ACK
6.137959250000000,46,0xD0,0xFF,Write,ACK
6.138175500000000,46,0xD0,0xFA,Write,ACK
6.138391500000000,46,0xD0,0x72,Write,ACK
6.138607750000000,46,0xD0,0x00,Write,ACK
6.138824000000000,46,0xD0,0x00,Write,ACK
6.139040250000000,46,0xD0,0x00,Write,ACK
6.139256500000000,46,0xD0,0x00,Write,ACK
6.139814000000000,47,0xD0,0x6D,Write,ACK
6.140030250000000,47,0xD0,0x00,Write,ACK
6.140561750000000,48,0xD0,0x6E,Write,ACK
6.140778000000000,48,0xD0,0x30,Write,ACK
6.141312500000000,49,0xD0,0x6F,Write,ACK
6.141820750000000,50,0xD1,0x00,Read,ACK
6.142037000000000,50,0xD1,0x28,Read,ACK
6.142253250000000,50,0xD1,0x00,Read,ACK
6.142469500000000,50,0xD1,0x00,Read,ACK
