Time,[s],,Analyzer,Name,,Decoded,Protocol,Result
0.026218,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.02643425,I2C,'255',(0xFF),+,ACK,,,
0.0266505,I2C,p,(0x70),+,ACK,,,
0.02686675,I2C,'254',(0xFE),+,ACK,,,
0.02708325,I2C,'221',(0xDD),+,ACK,,,
0.0272995,I2C,'255',(0xFF),+,ACK,,,
0.02751575,I2C,s,(0x73),+,NAK,,,
0.02789425,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0281105,I2C,C,(0x43),+,ACK,,,
0.02836275,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.028579,I2C,'255',(0xFF),+,ACK,,,
0.02879525,I2C,'127',(0x7F),+,ACK,,,
0.02901175,I2C,'254',(0xFE),+,ACK,,,
0.02922775,I2C,'239',(0xEF),+,ACK,,,
0.029444,I2C,'255',(0xFF),+,ACK,,,
0.02966025,I2C,_,(0x5F),+,NAK,,,
0.030039,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.03025525,I2C,C,(0x43),+,ACK,,,
0.03050775,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.03072375,I2C,'255',(0xFF),+,ACK,,,
0.03094,I2C,'134',(0x86),+,ACK,,,
0.0311565,I2C,'254',(0xFE),+,ACK,,,
0.03137275,I2C,'254',(0xFE),+,ACK,,,
0.031589,I2C,'255',(0xFF),+,ACK,,,
0.03180525,I2C,n,(0x6E),+,NAK,,,
0.03218375,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0324,I2C,C,(0x43),+,ACK,,,
0.0326525,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.03286875,I2C,'255',(0xFF),+,ACK,,,
0.033085,I2C,c,(0x63),+,ACK,,,
0.03330125,I2C,'254',(0xFE),+,ACK,,,
0.0335175,I2C,'234',(0xEA),+,ACK,,,
0.03373375,I2C,'255',(0xFF),+,ACK,,,
0.03395,I2C,c,(0x63),+,NAK,,,
0.0343285,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.03454475,I2C,C,(0x43),+,ACK,,,
0.034797,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.03501325,I2C,'255',(0xFF),+,ACK,,,
0.0352295,I2C,'129',(0x81),+,ACK,,,
0.035446,I2C,'254',(0xFE),+,ACK,,,
0.035662,I2C,'196',(0xC4),+,ACK,,,
0.03587825,I2C,'255',(0xFF),+,ACK,,,
0.0360945,I2C,P,(0x50),+,NAK,,,
0.036473,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.03668925,I2C,C,(0x43),+,ACK,,,
0.0369415,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.03715775,I2C,'255',(0xFF),+,ACK,,,
0.03737425,I2C,'133',(0x85),+,ACK,,,
0.03759025,I2C,'254',(0xFE),+,ACK,,,
0.0378065,I2C,'229',(0xE5),+,ACK,,,
0.03802275,I2C,'255',(0xFF),+,ACK,,,
0.03823925,I2C,`,(0x60),+,NAK,,,
0.0386175,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.03883375,I2C,C,(0x43),+,ACK,,,
0.039086,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.03930225,I2C,'255',(0xFF),+,ACK,,,
0.03951875,I2C,e,(0x65),+,ACK,,,
0.039735,I2C,'254',(0xFE),+,ACK,,,
0.039951,I2C,'218',(0xDA),+,ACK,,,
0.04016725,I2C,'255',(0xFF),+,ACK,,,
0.04038375,I2C,I,(0x49),+,NAK,,,
0.040762,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.04097825,I2C,C,(0x43),+,ACK,,,
0.0412305,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.04144675,I2C,'255',(0xFF),+,ACK,,,
0.04166325,I2C,s,(0x73),+,ACK,,,
0.04187925,I2C,'254',(0xFE),+,ACK,,,
0.0420955,I2C,'215',(0xD7),+,ACK,,,
0.04231175,I2C,'255',(0xFF),+,ACK,,,
0.04252825,I2C,W,(0x57),+,NAK,,,
0.0429065,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.04312275,I2C,C,(0x43),+,ACK,,,
0.043375,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.04359125,I2C,'255',(0xFF),+,ACK,,,
0.04380775,I2C,|,(0x7C),+,ACK,,,
0.04402375,I2C,'254',(0xFE),+,ACK,,,
0.04424,I2C,'237',(0xED),+,ACK,,,
0.04445625,I2C,'255',(0xFF),+,ACK,,,
0.04467275,I2C,^,(0x5E),+,NAK,,,
0.045051,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.04526725,I2C,C,(0x43),+,ACK,,,
0.0455195,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.045736,I2C,'255',(0xFF),+,ACK,,,
0.04595225,I2C,x,(0x78),+,ACK,,,
0.0461685,I2C,'255',(0xFF),+,ACK,,,
0.04638475,I2C,\r,(0x0D),+,ACK,,,
0.046601,I2C,'255',(0xFF),+,ACK,,,
0.04681725,I2C,U,(0x55),+,NAK,,,
0.04719575,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.04741175,I2C,C,(0x43),+,ACK,,,
0.04766425,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.0478805,I2C,'255',(0xFF),+,ACK,,,
0.04809675,I2C,v,(0x76),+,ACK,,,
0.048313,I2C,'254',(0xFE),+,ACK,,,
0.04852925,I2C,'201',(0xC9),+,ACK,,,
0.0487455,I2C,'255',(0xFF),+,ACK,,,
0.04896175,I2C,J,(0x4A),+,NAK,,,
0.04934025,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0495565,I2C,C,(0x43),+,ACK,,,
0.049809,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.05002525,I2C,'255',(0xFF),+,ACK,,,
0.0502415,I2C,'131',(0x83),+,ACK,,,
0.05045775,I2C,'254',(0xFE),+,ACK,,,
0.050674,I2C,'239',(0xEF),+,ACK,,,
0.05089025,I2C,'255',(0xFF),+,ACK,,,
0.0511065,I2C,'127',(0x7F),+,NAK,,,
0.051485,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0517015,I2C,C,(0x43),+,ACK,,,
0.05195375,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.05217,I2C,'255',(0xFF),+,ACK,,,
0.05238625,I2C,'136',(0x88),+,ACK,,,
0.0526025,I2C,'254',(0xFE),+,ACK,,,
0.05281875,I2C,'232',(0xE8),+,ACK,,,
0.05303525,I2C,'255',(0xFF),+,ACK,,,
0.0532515,I2C,Y,(0x59),+,NAK,,,
0.05363,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.05384625,I2C,C,(0x43),+,ACK,,,
0.05409875,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.05431475,I2C,'255',(0xFF),+,ACK,,,
0.054531,I2C,v,(0x76),+,ACK,,,
0.05474725,I2C,'254',(0xFE),+,ACK,,,
0.05496375,I2C,'227',(0xE3),+,ACK,,,
0.05517975,I2C,'255',(0xFF),+,ACK,,,
0.055396,I2C,j,(0x6A),+,NAK,,,
0.0557745,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.05599075,I2C,C,(0x43),+,ACK,,,
0.05624325,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.0564595,I2C,'255',(0xFF),+,ACK,,,
0.05667575,I2C,k,(0x6B),+,ACK,,,
0.056892,I2C,'254',(0xFE),+,ACK,,,
0.05710825,I2C,'201',(0xC9),+,ACK,,,
0.0573245,I2C,'255',(0xFF),+,ACK,,,
0.05754075,I2C,K,(0x4B),+,NAK,,,
0.05791925,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0581355,I2C,C,(0x43),+,ACK,,,
0.058388,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.05860425,I2C,'255',(0xFF),+,ACK,,,
0.0588205,I2C,'128',(0x80),+,ACK,,,
0.05903675,I2C,'254',(0xFE),+,ACK,,,
0.059253,I2C,'245',(0xF5),+,ACK,,,
0.05946925,I2C,'255',(0xFF),+,ACK,,,
0.0596855,I2C,n,(0x6E),+,NAK,,,
0.060064,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.06028025,I2C,C,(0x43),+,ACK,,,
0.0605325,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.06074875,I2C,'255',(0xFF),+,ACK,,,
0.060965,I2C,i,(0x69),+,ACK,,,
0.06118125,I2C,'254',(0xFE),+,ACK,,,
0.06139775,I2C,'229',(0xE5),+,ACK,,,
0.06161375,I2C,'255',(0xFF),+,ACK,,,
0.06183025,I2C,O,(0x4F),+,NAK,,,
0.0622085,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.062425,I2C,C,(0x43),+,ACK,,,
0.06267725,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.0628935,I2C,'255',(0xFF),+,ACK,,,
0.06310975,I2C,'138',(0x8A),+,ACK,,,
0.063326,I2C,'254',(0xFE),+,ACK,,,
0.06354225,I2C,'244',(0xF4),+,ACK,,,
0.0637585,I2C,'255',(0xFF),+,ACK,,,
0.06397475,I2C,u,(0x75),+,NAK,,,
0.06435325,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0645695,I2C,C,(0x43),+,ACK,,,
0.064822,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.06503825,I2C,'255',(0xFF),+,ACK,,,
0.06525425,I2C,k,(0x6B),+,ACK,,,
0.06547075,I2C,'254',(0xFE),+,ACK,,,
0.06568675,I2C,'216',(0xD8),+,ACK,,,
0.065903,I2C,'255',(0xFF),+,ACK,,,
0.06611925,I2C,W,(0x57),+,NAK,,,
0.06649775,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.066714,I2C,C,(0x43),+,ACK,,,
0.0669665,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.06718275,I2C,'255',(0xFF),+,ACK,,,
0.067399,I2C,h,(0x68),+,ACK,,,
0.06761525,I2C,'255',(0xFF),+,ACK,,,
0.0678315,I2C,'4',(0x04),+,ACK,,,
0.06804775,I2C,'255',(0xFF),+,ACK,,,
0.068264,I2C,s,(0x73),+,NAK,,,
0.0686425,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.06885875,I2C,C,(0x43),+,ACK,,,
0.069111,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.06932725,I2C,'255',(0xFF),+,ACK,,,
0.0695435,I2C,h,(0x68),+,ACK,,,
0.06975975,I2C,'254',(0xFE),+,ACK,,,
0.069976,I2C,'216',(0xD8),+,ACK,,,
0.07019225,I2C,'255',(0xFF),+,ACK,,,
0.0704085,I2C,p,(0x70),+,NAK,,,
0.07078725,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0710035,I2C,C,(0x43),+,ACK,,,
0.07125575,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.071472,I2C,'255',(0xFF),+,ACK,,,
0.07168825,I2C,[,(0x5B),+,ACK,,,
0.0719045,I2C,'254',(0xFE),+,ACK,,,
0.07212075,I2C,'228',(0xE4),+,ACK,,,
0.072337,I2C,'255',(0xFF),+,ACK,,,
0.07255325,I2C,d,(0x64),+,NAK,,,
0.07293175,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.073148,I2C,C,(0x43),+,ACK,,,
0.07340025,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.0736165,I2C,'255',(0xFF),+,ACK,,,
0.07383275,I2C,s,(0x73),+,ACK,,,
0.074049,I2C,'254',(0xFE),+,ACK,,,
0.0742655,I2C,'232',(0xE8),+,ACK,,,
0.07448175,I2C,'255',(0xFF),+,ACK,,,
0.074698,I2C,j,(0x6A),+,NAK,,,
0.0750765,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0752925,I2C,C,(0x43),+,ACK,,,
0.075545,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.075761,I2C,'255',(0xFF),+,ACK,,,
0.0759775,I2C,u,(0x75),+,ACK,,,
0.07619375,I2C,'254',(0xFE),+,ACK,,,
0.07641,I2C,'224',(0xE0),+,ACK,,,
0.076626,I2C,'255',(0xFF),+,ACK,,,
0.0768425,I2C,h,(0x68),+,NAK,,,
0.07722075,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.077437,I2C,C,(0x43),+,ACK,,,
0.0776895,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.0779055,I2C,'255',(0xFF),+,ACK,,,
0.078122,I2C,o,(0x6F),+,ACK,,,
0.07833825,I2C,'254',(0xFE),+,ACK,,,
0.0785545,I2C,'228',(0xE4),+,ACK,,,
0.07877075,I2C,'255',(0xFF),+,ACK,,,
0.078987,I2C,t,(0x74),+,NAK,,,
0.07936525,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.0795815,I2C,C,(0x43),+,ACK,,,
