Time,[s],,Analyzer,Name,,Decoded,Protocol,Result
0.551384,I2C,C,(0x43),+,ACK,,,
0.55163625,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5518525,I2C,'255',(0xFF),+,ACK,,,
0.55206875,I2C,'129',(0x81),+,ACK,,,
0.552285,I2C,'254',(0xFE),+,ACK,,,
0.552501,I2C,'242',(0xF2),+,ACK,,,
0.55271725,I2C,'255',(0xFF),+,ACK,,,
0.5529335,I2C,a,(0x61),+,NAK,,,
0.553312,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.55352825,I2C,C,(0x43),+,ACK,,,
0.5537805,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.55399675,I2C,'255',(0xFF),+,ACK,,,
0.554213,I2C,s,(0x73),+,ACK,,,
0.55442925,I2C,'254',(0xFE),+,ACK,,,
0.5546455,I2C,'191',(0xBF),+,ACK,,,
0.55486175,I2C,'255',(0xFF),+,ACK,,,
0.555078,I2C,c,(0x63),+,NAK,,,
0.5554565,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.55567275,I2C,C,(0x43),+,ACK,,,
0.555925,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.55614125,I2C,'255',(0xFF),+,ACK,,,
0.5563575,I2C,V,(0x56),+,ACK,,,
0.55657375,I2C,'254',(0xFE),+,ACK,,,
0.55679,I2C,'219',(0xDB),+,ACK,,,
0.55700625,I2C,'255',(0xFF),+,ACK,,,
0.55722275,I2C,_,(0x5F),+,NAK,,,
0.557601,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.55781725,I2C,C,(0x43),+,ACK,,,
0.5580695,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.55828575,I2C,'255',(0xFF),+,ACK,,,
0.55850225,I2C,n,(0x6E),+,ACK,,,
0.5587185,I2C,'254',(0xFE),+,ACK,,,
0.55893475,I2C,'211',(0xD3),+,ACK,,,
0.559151,I2C,'255',(0xFF),+,ACK,,,
0.55936725,I2C,],(0x5D),+,NAK,,,
0.55974575,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.559962,I2C,C,(0x43),+,ACK,,,
0.56021425,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.56043075,I2C,'255',(0xFF),+,ACK,,,
0.56064675,I2C,T,(0x54),+,ACK,,,
0.560863,I2C,'254',(0xFE),+,ACK,,,
0.56107925,I2C,'229',(0xE5),+,ACK,,,
0.56129575,I2C,'255',(0xFF),+,ACK,,,
0.561512,I2C,|,(0x7C),+,NAK,,,
0.56189025,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5621065,I2C,C,(0x43),+,ACK,,,
0.562359,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.56257525,I2C,'255',(0xFF),+,ACK,,,
0.5627915,I2C,'133',(0x85),+,ACK,,,
0.56300775,I2C,'254',(0xFE),+,ACK,,,
0.563224,I2C,'239',(0xEF),+,ACK,,,
0.5634405,I2C,'255',(0xFF),+,ACK,,,
0.56365675,I2C,m,(0x6D),+,NAK,,,
0.564035,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.56425125,I2C,C,(0x43),+,ACK,,,
0.5645035,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.56472,I2C,'255',(0xFF),+,ACK,,,
0.56493625,I2C,n,(0x6E),+,ACK,,,
0.56515225,I2C,'254',(0xFE),+,ACK,,,
0.5653685,I2C,'233',(0xE9),+,ACK,,,
0.565585,I2C,'255',(0xFF),+,ACK,,,
0.56580125,I2C,n,(0x6E),+,NAK,,,
0.5661795,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.56639575,I2C,C,(0x43),+,ACK,,,
0.566648,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5668645,I2C,'255',(0xFF),+,ACK,,,
0.56708075,I2C,r,(0x72),+,ACK,,,
0.567297,I2C,'254',(0xFE),+,ACK,,,
0.56751325,I2C,'199',(0xC7),+,ACK,,,
0.5677295,I2C,'255',(0xFF),+,ACK,,,
0.56794575,I2C,c,(0x63),+,NAK,,,
0.56832425,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5685405,I2C,C,(0x43),+,ACK,,,
0.56879275,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.56900925,I2C,'255',(0xFF),+,ACK,,,
0.5692255,I2C,j,(0x6A),+,ACK,,,
0.56944175,I2C,'255',(0xFF),+,ACK,,,
0.569658,I2C,'5',(0x05),+,ACK,,,
0.56987425,I2C,'255',(0xFF),+,ACK,,,
0.5700905,I2C,`,(0x60),+,NAK,,,
0.57046875,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.570685,I2C,C,(0x43),+,ACK,,,
0.5709375,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.57115375,I2C,'255',(0xFF),+,ACK,,,
0.57137,I2C,s,(0x73),+,ACK,,,
0.57158625,I2C,'254',(0xFE),+,ACK,,,
0.5718025,I2C,'218',(0xDA),+,ACK,,,
0.57201875,I2C,'255',(0xFF),+,ACK,,,
0.572235,I2C,x,(0x78),+,NAK,,,
0.5726135,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.57283,I2C,C,(0x43),+,ACK,,,
0.57308225,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5732985,I2C,'255',(0xFF),+,ACK,,,
0.57351475,I2C,'128',(0x80),+,ACK,,,
0.573731,I2C,'254',(0xFE),+,ACK,,,
0.57394725,I2C,'231',(0xE7),+,ACK,,,
0.5741635,I2C,'255',(0xFF),+,ACK,,,
0.57437975,I2C,n,(0x6E),+,NAK,,,
0.57475825,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5749745,I2C,C,(0x43),+,ACK,,,
0.575227,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.57544325,I2C,'255',(0xFF),+,ACK,,,
0.5756595,I2C,i,(0x69),+,ACK,,,
0.57587575,I2C,'254',(0xFE),+,ACK,,,
0.576092,I2C,'218',(0xDA),+,ACK,,,
0.57630825,I2C,'255',(0xFF),+,ACK,,,
0.5765245,I2C,u,(0x75),+,NAK,,,
0.576903,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.57711925,I2C,C,(0x43),+,ACK,,,
0.5773715,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.57758775,I2C,'255',(0xFF),+,ACK,,,
0.577804,I2C,k,(0x6B),+,ACK,,,
0.5780205,I2C,'254',(0xFE),+,ACK,,,
0.57823675,I2C,'213',(0xD5),+,ACK,,,
0.578453,I2C,'255',(0xFF),+,ACK,,,
0.57866925,I2C,b,(0x62),+,NAK,,,
0.5790475,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.579264,I2C,C,(0x43),+,ACK,,,
0.57951625,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.57973225,I2C,'255',(0xFF),+,ACK,,,
0.5799485,I2C,S,(0x53),+,ACK,,,
0.58016475,I2C,'254',(0xFE),+,ACK,,,
0.580381,I2C,'226',(0xE2),+,ACK,,,
0.58059725,I2C,'255',(0xFF),+,ACK,,,
0.5808135,I2C,G,(0x47),+,NAK,,,
0.581192,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.58140825,I2C,C,(0x43),+,ACK,,,
0.5816605,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.58187675,I2C,'255',(0xFF),+,ACK,,,
0.582093,I2C,z,(0x7A),+,ACK,,,
0.5823095,I2C,'254',(0xFE),+,ACK,,,
0.58252575,I2C,'238',(0xEE),+,ACK,,,
0.582742,I2C,'255',(0xFF),+,ACK,,,
0.58295825,I2C,u,(0x75),+,NAK,,,
0.58333675,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.58355325,I2C,C,(0x43),+,ACK,,,
0.5838055,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.58402175,I2C,'255',(0xFF),+,ACK,,,
0.584238,I2C,f,(0x66),+,ACK,,,
0.58445425,I2C,'254',(0xFE),+,ACK,,,
0.58467075,I2C,'218',(0xDA),+,ACK,,,
0.584887,I2C,'255',(0xFF),+,ACK,,,
0.58510325,I2C,i,(0x69),+,NAK,,,
0.58548175,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.585698,I2C,C,(0x43),+,ACK,,,
0.58595025,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5861665,I2C,'255',(0xFF),+,ACK,,,
0.58638275,I2C,c,(0x63),+,ACK,,,
0.586599,I2C,'254',(0xFE),+,ACK,,,
0.58681525,I2C,'241',(0xF1),+,ACK,,,
0.5870315,I2C,'255',(0xFF),+,ACK,,,
0.58724775,I2C,m,(0x6D),+,NAK,,,
0.58762625,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.5878425,I2C,C,(0x43),+,ACK,,,
0.58809475,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.588311,I2C,'255',(0xFF),+,ACK,,,
0.5885275,I2C,W,(0x57),+,ACK,,,
0.58874375,I2C,'254',(0xFE),+,ACK,,,
0.58895975,I2C,'235',(0xEB),+,ACK,,,
0.589176,I2C,'255',(0xFF),+,ACK,,,
0.5893925,I2C,d,(0x64),+,NAK,,,
0.58977075,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.589987,I2C,C,(0x43),+,ACK,,,
0.59023925,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5904555,I2C,'255',(0xFF),+,ACK,,,
0.59067175,I2C,b,(0x62),+,ACK,,,
0.590888,I2C,'254',(0xFE),+,ACK,,,
0.59110425,I2C,'206',(0xCE),+,ACK,,,
0.5913205,I2C,'255',(0xFF),+,ACK,,,
0.59153675,I2C,K,(0x4B),+,NAK,,,
0.59191525,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.59213125,I2C,C,(0x43),+,ACK,,,
0.59238375,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.5926,I2C,'255',(0xFF),+,ACK,,,
0.59281625,I2C,v,(0x76),+,ACK,,,
0.59303225,I2C,'254',(0xFE),+,ACK,,,
0.5932485,I2C,'220',(0xDC),+,ACK,,,
0.59346475,I2C,'255',(0xFF),+,ACK,,,
0.593681,I2C,h,(0x68),+,NAK,,,
0.5940595,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.59427575,I2C,C,(0x43),+,ACK,,,
0.594528,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.59474425,I2C,'255',(0xFF),+,ACK,,,
0.5949605,I2C,d,(0x64),+,ACK,,,
0.5951765,I2C,'254',(0xFE),+,ACK,,,
0.59539275,I2C,'242',(0xF2),+,ACK,,,
0.595609,I2C,'255',(0xFF),+,ACK,,,
0.59582525,I2C,l,(0x6C),+,NAK,,,
0.5962035,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.59641975,I2C,C,(0x43),+,ACK,,,
0.596672,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.59688825,I2C,'255',(0xFF),+,ACK,,,
0.5971045,I2C,x,(0x78),+,ACK,,,
0.59732075,I2C,'255',(0xFF),+,ACK,,,
0.59753675,I2C,'21',(0x15),+,ACK,,,
0.59775325,I2C,'255',(0xFF),+,ACK,,,
0.5979695,I2C,[,(0x5B),+,NAK,,,
0.598348,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.59856425,I2C,C,(0x43),+,ACK,,,
0.5988165,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.599033,I2C,'255',(0xFF),+,ACK,,,
0.59924925,I2C,'162',(0xA2),+,ACK,,,
0.59946525,I2C,'254',(0xFE),+,ACK,,,
0.5996815,I2C,'228',(0xE4),+,ACK,,,
0.599898,I2C,'255',(0xFF),+,ACK,,,
0.600114,I2C,],(0x5D),+,NAK,,,
0.6004925,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.60070875,I2C,C,(0x43),+,ACK,,,
0.60096125,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.6011775,I2C,'255',(0xFF),+,ACK,,,
0.60139375,I2C,v,(0x76),+,ACK,,,
0.60160975,I2C,'254',(0xFE),+,ACK,,,
0.601826,I2C,'237',(0xED),+,ACK,,,
0.6020425,I2C,'255',(0xFF),+,ACK,,,
0.6022585,I2C,|,(0x7C),+,NAK,,,
0.602637,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.60285325,I2C,C,(0x43),+,ACK,,,
0.6031055,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.60332175,I2C,'255',(0xFF),+,ACK,,,
0.603538,I2C,z,(0x7A),+,ACK,,,
0.60375425,I2C,'254',(0xFE),+,ACK,,,
0.6039705,I2C,'226',(0xE2),+,ACK,,,
0.60418675,I2C,'255',(0xFF),+,ACK,,,
0.60440275,I2C,n,(0x6E),+,NAK,,,
0.60478125,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.6049975,I2C,C,(0x43),+,ACK,,,
0.60524975,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.605466,I2C,'255',(0xFF),+,ACK,,,
0.60568225,I2C,},(0x7D),+,ACK,,,
0.6058985,I2C,'254',(0xFE),+,ACK,,,
0.60611475,I2C,'224',(0xE0),+,ACK,,,
0.606331,I2C,'255',(0xFF),+,ACK,,,
0.606547,I2C,n,(0x6E),+,NAK,,,
0.6069255,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.60714175,I2C,C,(0x43),+,ACK,,,
0.607394,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.60761025,I2C,'255',(0xFF),+,ACK,,,
0.6078265,I2C,'137',(0x89),+,ACK,,,
0.60804275,I2C,'255',(0xFF),+,ACK,,,
0.608259,I2C,'3',(0x03),+,ACK,,,
0.60847525,I2C,'255',(0xFF),+,ACK,,,
0.6086915,I2C,r,(0x72),+,NAK,,,
0.60906975,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.609286,I2C,C,(0x43),+,ACK,,,
0.60953825,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.6097545,I2C,'255',(0xFF),+,ACK,,,
0.60997075,I2C,z,(0x7A),+,ACK,,,
0.61018675,I2C,'254',(0xFE),+,ACK,,,
0.61040325,I2C,'201',(0xC9),+,ACK,,,
0.61061925,I2C,'255',(0xFF),+,ACK,,,
0.6108355,I2C,y,(0x79),+,NAK,,,
0.611214,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.61143025,I2C,C,(0x43),+,ACK,,,
0.6116825,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.61189875,I2C,'255',(0xFF),+,ACK,,,
0.612115,I2C,c,(0x63),+,ACK,,,
0.61233125,I2C,'254',(0xFE),+,ACK,,,
0.6125475,I2C,'227',(0xE3),+,ACK,,,
0.61276375,I2C,'255',(0xFF),+,ACK,,,
0.61298,I2C,V,(0x56),+,NAK,,,
0.6133585,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.61357475,I2C,C,(0x43),+,ACK,,,
0.61382725,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.6140435,I2C,'255',(0xFF),+,ACK,,,
0.61425975,I2C,z,(0x7A),+,ACK,,,
0.614476,I2C,'254',(0xFE),+,ACK,,,
0.61469225,I2C,'216',(0xD8),+,ACK,,,
0.6149085,I2C,'255',(0xFF),+,ACK,,,
0.61512475,I2C,j,(0x6A),+,NAK,,,
0.6155035,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.61571975,I2C,C,(0x43),+,ACK,,,
0.615972,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.61618825,I2C,'255',(0xFF),+,ACK,,,
0.6164045,I2C,},(0x7D),+,ACK,,,
0.61662075,I2C,'254',(0xFE),+,ACK,,,
0.616837,I2C,'241',(0xF1),+,ACK,,,
0.61705325,I2C,'255',(0xFF),+,ACK,,,
0.6172695,I2C,e,(0x65),+,NAK,,,
0.617648,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.61786425,I2C,C,(0x43),+,ACK,,,
0.6181165,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.61833275,I2C,'255',(0xFF),+,ACK,,,
0.618549,I2C,r,(0x72),+,ACK,,,
0.61876525,I2C,'255',(0xFF),+,ACK,,,
0.6189815,I2C,'19',(0x13),+,ACK,,,
0.61919775,I2C,'255',(0xFF),+,ACK,,,
0.619414,I2C,[,(0x5B),+,NAK,,,
0.6197925,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.62000875,I2C,C,(0x43),+,ACK,,,
0.620261,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.62047725,I2C,'255',(0xFF),+,ACK,,,
0.6206935,I2C,b,(0x62),+,ACK,,,
0.62090975,I2C,'254',(0xFE),+,ACK,,,
0.621126,I2C,'249',(0xF9),+,ACK,,,
0.62134225,I2C,'255',(0xFF),+,ACK,,,
0.6215585,I2C,b,(0x62),+,NAK,,,
0.621937,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.622153,I2C,C,(0x43),+,ACK,,,
0.62240525,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.6226215,I2C,'255',(0xFF),+,ACK,,,
0.622838,I2C,x,(0x78),+,ACK,,,
0.62305425,I2C,'254',(0xFE),+,ACK,,,
0.62327025,I2C,'225',(0xE1),+,ACK,,,
0.6234865,I2C,'255',(0xFF),+,ACK,,,
0.623703,I2C,f,(0x66),+,NAK,,,
0.62408125,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.6242975,I2C,C,(0x43),+,ACK,,,
0.62454975,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.624766,I2C,'255',(0xFF),+,ACK,,,
0.62498225,I2C,'131',(0x83),+,ACK,,,
0.6251985,I2C,'254',(0xFE),+,ACK,,,
0.6254145,I2C,'239',(0xEF),+,ACK,,,
0.62563075,I2C,'255',(0xFF),+,ACK,,,
0.625847,I2C,t,(0x74),+,NAK,,,
0.6262255,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.62644175,I2C,C,(0x43),+,ACK,,,
0.626694,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.62691025,I2C,'255',(0xFF),+,ACK,,,
0.6271265,I2C,e,(0x65),+,ACK,,,
0.62734275,I2C,'254',(0xFE),+,ACK,,,
0.627559,I2C,'211',(0xD3),+,ACK,,,
0.62777525,I2C,'255',(0xFF),+,ACK,,,
0.6279915,I2C,k,(0x6B),+,NAK,,,
0.62837,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.62858625,I2C,C,(0x43),+,ACK,,,
0.6288385,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.62905475,I2C,'255',(0xFF),+,ACK,,,
0.62927125,I2C,v,(0x76),+,ACK,,,
0.6294875,I2C,'254',(0xFE),+,ACK,,,
0.62970375,I2C,'228',(0xE4),+,ACK,,,
0.62992,I2C,'255',(0xFF),+,ACK,,,
0.63013625,I2C,d,(0x64),+,NAK,,,
0.6305145,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.63073075,I2C,C,(0x43),+,ACK,,,
0.63098325,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.6311995,I2C,'255',(0xFF),+,ACK,,,
0.63141575,I2C,a,(0x61),+,ACK,,,
0.63163225,I2C,'254',(0xFE),+,ACK,,,
0.6318485,I2C,'244',(0xF4),+,ACK,,,
0.63206475,I2C,'255',(0xFF),+,ACK,,,
0.632281,I2C,i,(0x69),+,NAK,,,
0.6326595,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.63287575,I2C,C,(0x43),+,ACK,,,
0.633128,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.63334425,I2C,'255',(0xFF),+,ACK,,,
0.6335605,I2C,'127',(0x7F),+,ACK,,,
0.63377675,I2C,'254',(0xFE),+,ACK,,,
0.633993,I2C,'213',(0xD5),+,ACK,,,
0.63420925,I2C,'255',(0xFF),+,ACK,,,
0.6344255,I2C,k,(0x6B),+,NAK,,,
0.634804,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.63502025,I2C,C,(0x43),+,ACK,,,
0.6352725,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.63548875,I2C,'255',(0xFF),+,ACK,,,
0.635705,I2C,\,(0x5C),+,ACK,,,
0.63592125,I2C,'254',(0xFE),+,ACK,,,
0.6361375,I2C,'245',(0xF5),+,ACK,,,
0.63635375,I2C,'255',(0xFF),+,ACK,,,
0.63657,I2C,\,(0x5C),+,NAK,,,
0.63694825,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.6371645,I2C,C,(0x43),+,ACK,,,
0.637417,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.63763325,I2C,'255',(0xFF),+,ACK,,,
0.6378495,I2C,'138',(0x8A),+,ACK,,,
0.63806575,I2C,'255',(0xFF),+,ACK,,,
0.638282,I2C,'6',(0x06),+,ACK,,,
0.6384985,I2C,'255',(0xFF),+,ACK,,,
0.63871475,I2C,f,(0x66),+,NAK,,,
0.63909325,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.6393095,I2C,C,(0x43),+,ACK,,,
0.63956175,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.639778,I2C,'255',(0xFF),+,ACK,,,
0.63999425,I2C,j,(0x6A),+,ACK,,,
0.6402105,I2C,'254',(0xFE),+,ACK,,,
0.64042675,I2C,'235',(0xEB),+,ACK,,,
0.640643,I2C,'255',(0xFF),+,ACK,,,
0.64085925,I2C,d,(0x64),+,NAK,,,
0.64123775,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.641454,I2C,C,(0x43),+,ACK,,,
0.64170625,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.6419225,I2C,'255',(0xFF),+,ACK,,,
0.64213875,I2C,`,(0x60),+,ACK,,,
0.642355,I2C,'254',(0xFE),+,ACK,,,
0.64257125,I2C,'229',(0xE5),+,ACK,,,
0.64278775,I2C,'255',(0xFF),+,ACK,,,
0.643004,I2C,l,(0x6C),+,NAK,,,
0.64338225,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.64359875,I2C,C,(0x43),+,ACK,,,
0.643851,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.64406725,I2C,'255',(0xFF),+,ACK,,,
0.6442835,I2C,i,(0x69),+,ACK,,,
0.64449975,I2C,'254',(0xFE),+,ACK,,,
0.644716,I2C,'182',(0xB6),+,ACK,,,
0.64493225,I2C,'255',(0xFF),+,ACK,,,
0.6451485,I2C,T,(0x54),+,NAK,,,
0.645527,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.64574325,I2C,C,(0x43),+,ACK,,,
0.6459955,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.646212,I2C,'255',(0xFF),+,ACK,,,
0.646428,I2C,'127',(0x7F),+,ACK,,,
0.6466445,I2C,'254',(0xFE),+,ACK,,,
0.64686075,I2C,'221',(0xDD),+,ACK,,,
0.647077,I2C,'255',(0xFF),+,ACK,,,
0.64729325,I2C,Y,(0x59),+,NAK,,,
0.64767175,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.647888,I2C,C,(0x43),+,ACK,,,
0.64814025,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.6483565,I2C,'255',(0xFF),+,ACK,,,
0.64857275,I2C,'127',(0x7F),+,ACK,,,
0.648789,I2C,'254',(0xFE),+,ACK,,,
0.64900525,I2C,'238',(0xEE),+,ACK,,,
0.6492215,I2C,'255',(0xFF),+,ACK,,,
0.64943775,I2C,t,(0x74),+,NAK,,,
0.64981625,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.6500325,I2C,C,(0x43),+,ACK,,,
0.65028475,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.650501,I2C,'255',(0xFF),+,ACK,,,
0.65071725,I2C,'147',(0x93),+,ACK,,,
0.6509335,I2C,'254',(0xFE),+,ACK,,,
0.65114975,I2C,'245',(0xF5),+,ACK,,,
0.651366,I2C,'255',(0xFF),+,ACK,,,
0.65158225,I2C,h,(0x68),+,NAK,,,
0.65196075,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.652177,I2C,C,(0x43),+,ACK,,,
0.6524295,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.65264575,I2C,'255',(0xFF),+,ACK,,,
0.652862,I2C,'128',(0x80),+,ACK,,,
0.65307825,I2C,'254',(0xFE),+,ACK,,,
0.65329475,I2C,'237',(0xED),+,ACK,,,
0.653511,I2C,'255',(0xFF),+,ACK,,,
0.65372725,I2C,],(0x5D),+,NAK,,,
0.65410575,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.654322,I2C,C,(0x43),+,ACK,,,
0.6545745,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.65479075,I2C,'255',(0xFF),+,ACK,,,
0.655007,I2C,s,(0x73),+,ACK,,,
0.65522325,I2C,'254',(0xFE),+,ACK,,,
0.6554395,I2C,'200',(0xC8),+,ACK,,,
0.65565575,I2C,'255',(0xFF),+,ACK,,,
0.65587225,I2C,r,(0x72),+,NAK,,,
0.6562505,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.65646675,I2C,C,(0x43),+,ACK,,,
0.65671925,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.6569355,I2C,'255',(0xFF),+,ACK,,,
0.65715175,I2C,\,(0x5C),+,ACK,,,
0.657368,I2C,'254',(0xFE),+,ACK,,,
0.65758425,I2C,'200',(0xC8),+,ACK,,,
0.6578005,I2C,'255',(0xFF),+,ACK,,,
0.65801675,I2C,\,(0x5C),+,NAK,,,
0.65839525,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.6586115,I2C,C,(0x43),+,ACK,,,
0.65886375,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.65908,I2C,'255',(0xFF),+,ACK,,,
0.6592965,I2C,^,(0x5E),+,ACK,,,
0.65951275,I2C,'254',(0xFE),+,ACK,,,
0.659729,I2C,'242',(0xF2),+,ACK,,,
0.65994525,I2C,'255',(0xFF),+,ACK,,,
0.6601615,I2C,~,(0x7E),+,NAK,,,
0.66054,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.66075625,I2C,C,(0x43),+,ACK,,,
0.6610085,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.66122475,I2C,'255',(0xFF),+,ACK,,,
0.661441,I2C,j,(0x6A),+,ACK,,,
0.66165725,I2C,'254',(0xFE),+,ACK,,,
0.6618735,I2C,'242',(0xF2),+,ACK,,,
0.66208975,I2C,'255',(0xFF),+,ACK,,,
0.662306,I2C,v,(0x76),+,NAK,,,
0.6626845,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.66290075,I2C,C,(0x43),+,ACK,,,
0.663153,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.66336925,I2C,'255',(0xFF),+,ACK,,,
0.6635855,I2C,l,(0x6C),+,ACK,,,
0.663802,I2C,'254',(0xFE),+,ACK,,,
0.66401825,I2C,'221',(0xDD),+,ACK,,,
0.6642345,I2C,'255',(0xFF),+,ACK,,,
0.66445075,I2C,d,(0x64),+,NAK,,,
0.66482925,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
0.6650455,I2C,C,(0x43),+,ACK,,,
0.66529775,I2C,Setup,Read,to,['209',(0xD1)],+,ACK
0.665514,I2C,'255',(0xFF),+,ACK,,,
0.66573025,I2C,^,(0x5E),+,ACK,,,
0.6659465,I2C,'254',(0xFE),+,ACK,,,
0.66616275,I2C,'222',(0xDE),+,ACK,,,
0.666379,I2C,'255',(0xFF),+,ACK,,,
0.66659525,I2C,d,(0x64),+,NAK,,,
0.6669735,I2C,Setup,Write,to,['208',(0xD0)],+,ACK
